id,ScholarshipName,Value,Requirements,ApplicationPeriod,Level,HostCountry,Link
31,Government of Austria ITH Fully-Funded Master's Scholarships,Full funding for diploma course in Hospitality,"students from ADC’s priority countries, students from other developing countries",31st of March 2024,Diploma in Tourism & Hospitality,Austria,https://ith-salzburg.at/admission-and-fees/scholarship/
32,Global Excellence Scholarships by University College Dublin (UCD),100% and 50% tuition fee,International student,31-Mar,Undergrad & Masters,Republic of Ireland,https://www.ucd.ie/global/scholarships/globalexcellencescholarships/
33,Government of Ireland International 2024 Scholarship Programme,Fully-funded,international students,deadline: 3/13/2024,Masters & PhD,Republic of Ireland,https://hea.ie/policy/internationalisation/goi-ies/
34,Durham University Hatfield Lioness Scholarship,Fully-funded,"Female student from a developing country, Admission Offer letter",deadline: 31st March 2024,Masters,United Kingdom,https://www.durham.ac.uk/colleges-and-student-experience/colleges/hatfield/hatfield-scholarships-bursaries-and-awards/hatfield-postgraduate-scholarships/
35,American University of Beirut Graduate Scholarship,Fully-funded,"Citizens of countries on the African Continent, Citizens of Lebanon, Refugees from Africa or Lebanon","deadline: March 14, 2024",Masters & PhD,Lebanon,"https://www.aub.edu.lb/mcf/Pages/Graduate.aspx#:~:text=Announcements%E2%80%8B-,%E2%80%8B%E2%80%8B%E2%80%8B%E2%80%8B%E2%80%8B%E2%80%8B%E2%80%8B%E2%80%8B%E2%80%8B%E2%80%8B,is%20on%20March%2014%2C%202024."
36,Government of Mauritius Africa Scholarships,Fully-funded,African students,deadline: July/September 2024,Undergrad & Masters,Mauritius,https://education.govmu.org/Pages/Mauritius-Africa-Scholarships-2020.aspx
37,Fully Funded SINGA Scholarship ,Fully-funded,International students,deadline: 1 December 2023,PhD,Singapore,https://www.a-star.edu.sg/Scholarships/for-graduate-studies/singapore-international-graduate-award-singa
38,Cattolica Africa Scholarship Program For African Masters Students,Tuition,"Degree holder, english proficiency",deadline: 27th June 2024,Masters,Italy,https://international.unicatt.it/ucscinternational-global-engagement-africa-scholars-program
39,Study in Vietnam with the VinUniversity Scholarships,Varied from full coverage to part,International student,"February 15 to May 15, 2024",Undergrad & Masters,Vietnam,"https://vinuni.edu.vn/undergraduate/international-students/#:~:text=Students%20who%20possess%20outstanding%20academic,approximately%20%24126%2C000%20%E2%80%93%20%24141%2C500%20per%20program)"
40,University of Laval African Scholarships,"$5,000 ",African student,"deadline: April 12, 2024",Bachelor of Business Admin,Canada,https://repertoire.bbaf.ulaval.ca/bourse/85627/bourse-dexcellence-a-ladmission-etudiants-etrangers-1er-cycle-hiver-2024
41,Displaced Student Scholarship,Tuition & Living expenses,"Refugee students, displaced students",deadline: 4 March 2024,Masters,Scotland,https://www.ed.ac.uk/global/education-beyond-borders/displaced-student-scholarship?fbclid=IwAR1XiyRyDeQ-LW2ADyDV8SacWwSHQv0b3G0TFeQUktIOQ8YiRWGLjH7Evjc_aem_AYF1dp5zi1bABtke852LzOr2opyaGJU7NHnbzVUmHlODBYIcCHdjvgAQPUS0uEAebSg
